# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
loongarch-glibc  | inotify12                | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | ioctl01                  | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | memfd_create04           | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | sigwaitinfo01            | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | socket01                 | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | getdents02               | 8      | yes/10     | PASS         | 0     
loongarch-glibc  | accept4_01               | 8      | yes/9      | PASS         | 0     
loongarch-glibc  | close_range02            | 8      | yes/9      | FAIL         | 2     
loongarch-glibc  | fallocate03              | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | fchmod01                 | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | getpgid01                | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | mmap06                   | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | prctl05                  | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | preadv02                 | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | preadv02_64              | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | preadv202                | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | preadv202_64             | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | sched_setparam04         | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | sched_setscheduler01     | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | setsockopt01             | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | writev07                 | 8      | yes/8      | PASS         | 0     
loongarch-glibc  | epoll_pwait03            | 7      | yes/8      | PASS         | 0     
loongarch-glibc  | bind01                   | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | clock_nanosleep02        | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | epoll_wait02             | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | faccessat201             | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | fcntl36                  | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | fcntl36_64               | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | futex_cmp_requeue01      | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | futex_wait05             | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | getpeername01            | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | inotify01                | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | nanosleep01              | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pipe2_01                 | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | poll02                   | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | prctl09                  | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pselect01                | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pselect01_64             | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pwritev02                | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pwritev02_64             | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pwritev202               | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | pwritev202_64            | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | setreuid01               | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | splice03                 | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | statx03                  | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | unlinkat01               | 7      | yes/7      | PASS         | 0     
loongarch-glibc  | semctl03                 | 6      | yes/8      | PASS         | 0     
loongarch-glibc  | alarm02                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | capget01                 | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | clock_gettime04          | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | creat01                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | dup202                   | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fchmodat01               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fchmodat02               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fcntl02                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fcntl02_64               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fcntl05                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fcntl05_64               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | flock04                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fstat02                  | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | fstat02_64               | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | futex_wake01             | 6      | yes/6      | PASS         | 0     
loongarch-glibc  | getsockname01            | 6      | yes/6      | PASS         | 0     
