combo=riscv-glibc
source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/riscv-glibc/raw.log

clone06                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
clone07                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
clone08                  | TPASS=1    | Summary=yes | SummaryTotal=3    | Status=FAIL         | End=2
clone09                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clone301                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clone302                 | TPASS=1    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
clone303                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
close01                  | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
close02                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
close_range01            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
close_range02            | TPASS=8    | Summary=yes | SummaryTotal=9    | Status=FAIL         | End=2
confstr01                | TPASS=34   | Summary=yes | SummaryTotal=34   | Status=PASS         | End=0
connect01                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
connect02                | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
copy_file_range01        | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
copy_file_range02        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
copy_file_range03        | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
cpuacct_task             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuctl_def_task01        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_def_task02        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_def_task03        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_def_task04        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_fj_cpu-hog        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=TIMEOUT      | End=124
cpuctl_fj_simple_echo    | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuctl_latency_check_task | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cpuctl_latency_test      | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=22
cpuctl_test01            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_test02            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_test03            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpuctl_test04            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=138
cpufreq_boost            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
